name,club_name,league,tier,position,age,value,wage
Rodri -,Manchester City,Premier League,1,MID,30,115500000.0,22880000.0
Mohamed Salah Hamed Ghaly -,Liverpool,Premier League,1,MID,34,104000000.0,18200000.0
Jude Victor William Bellingham -,Real Madrid,La Liga,1,MID,23,174500000.0,14560000.0
Erling Braut Håland -,Manchester City,Premier League,1,ATT,25,157000000.0,14040000.0
Vini Jr. -,Real Madrid,La Liga,1,ATT,26,171500000.0,17680000.0
Kylian Mbappé Lottin -,Real Madrid,La Liga,1,ATT,27,160000000.0,19760000.0
Virgil van Dijk -,Liverpool,Premier League,1,DEF,35,77500000.0,11440000.0
Harry Edward Kane -,FC Bayern München,Bundesliga,1,ATT,32,117500000.0,8840000.0
Florian Richard Wirtz -,Bayer 04 Leverkusen,Bundesliga,1,MID,23,143500000.0,6500000.0
Alisson -,Liverpool,Premier League,1,GK,33,54500000.0,6760000.0
Kevin De Bruyne -,Manchester City,Premier League,1,MID,35,63500000.0,14040000.0
Thibaut Nicolas Marc Courtois -,Real Madrid,La Liga,1,GK,34,51000000.0,11440000.0
Robert Lewandowski -,FC Barcelona,La Liga,1,ATT,37,44000000.0,10920000.0
Jamal Musiala -,FC Bayern München,Bundesliga,1,MID,23,133500000.0,4940000.0
Bukayo Saka -,Arsenal,Premier League,1,ATT,24,121000000.0,10920000.0
Federico Santiago Valverde Dipetta -,Real Madrid,La Liga,1,MID,27,120000000.0,15600000.0
Raphinha -,FC Barcelona,La Liga,1,MID,29,97500000.0,11440000.0
Lautaro Javier Martínez -,Inter,Serie A,1,ATT,28,101500000.0,9620000.0
Joshua Walter Kimmich -,FC Bayern München,Bundesliga,1,MID,31,78000000.0,6500000.0
Antonio Rüdiger -,Real Madrid,La Liga,1,DEF,33,62500000.0,16120000.0
Jan Oblak -,Atlético Madrid,La Liga,1,GK,33,48500000.0,4524000.0
Marc-André ter Stegen -,FC Barcelona,La Liga,1,GK,34,45000000.0,7540000.0
Cole Jermaine Palmer -,Chelsea,Premier League,1,MID,24,111000000.0,9620000.0
Pedri -,FC Barcelona,La Liga,1,MID,23,110000000.0,7800000.0
William Alain André Gabriel Saliba -,Arsenal,Premier League,1,DEF,25,92000000.0,8840000.0
Alessandro Bastoni -,Inter,Serie A,1,DEF,27,88500000.0,7280000.0
Declan Rice -,Arsenal,Premier League,1,MID,27,85000000.0,9880000.0
Gabriel -,Arsenal,Premier League,1,DEF,28,82500000.0,10140000.0
Victor James Osimhen -,Galatasaray SK,Süper Lig,3,ATT,27,101500000.0,10140000.0
Masour Ousmane Dembélé -,Paris Saint-Germain,Ligue 1,1,ATT,29,85000000.0,8060000.0
Gianluigi Donnarumma -,Paris Saint-Germain,Ligue 1,1,GK,27,76000000.0,4316000.0
Nicolò Barella -,Inter,Serie A,1,MID,29,84500000.0,8060000.0
Martin Ødegaard -,Arsenal,Premier League,1,MID,27,99500000.0,10140000.0
Mike Peterson Maignan -,AC Milan,Serie A,1,GK,31,68000000.0,7540000.0
Jonathan Glao Tah -,Bayer 04 Leverkusen,Bundesliga,1,DEF,30,68500000.0,7280000.0
Marquinhos -,Paris Saint-Germain,Ligue 1,1,DEF,32,65500000.0,7540000.0
Antoine Griezmann -,Atlético Madrid,La Liga,1,ATT,35,51000000.0,7020000.0
Yann Sommer -,Inter,Serie A,1,GK,37,9000000.0,3172000.0
